year,month,DEN_REG,descCarburante,sum_prezzo,count_prezzo,mean_prezzo
2018,1,Lombardia,Metano,4982.55,5178,0.9622537659327927
2018,1,Lombardia,V-Power,233.24,120,1.9436666666666667
2018,1,Lombardia,V-Power Diesel,218.99,120,1.8249166666666667
2018,1,Marche,Benzina,52857.938,32343,1.634292984571623
2018,1,Marche,Benzina Plus 98,658.25,330,1.9946969696969696
2018,1,Marche,Benzina speciale,98.46000000000001,60,1.6410000000000002
2018,1,Marche,Blue Diesel,8199.044,5250,1.5617226666666666
2018,1,Marche,Blue Super,4190.18,2400,1.7459083333333334
2018,1,Marche,Excellium Diesel,3389.2000000000003,2160,1.5690740740740743
2018,1,Marche,GPL,3900.693,5738,0.6798001045660509
2018,1,Marche,Gasolio,47887.756,32343,1.480621958383576
2018,1,Marche,Gasolio Alpino,98.48,60,1.6413333333333333
2018,1,Marche,Gasolio Oro Diesel,1141.125,660,1.7289772727272728
2018,1,Marche,Gasolio Premium,2619.114,1615,1.6217424148606812
2018,1,Marche,Gasolio Speciale,472.08000000000004,300,1.5736
2018,1,Marche,Gasolio speciale,561.542,360,1.559838888888889
2018,1,Marche,Hi-Q Diesel,1176.98,660,1.7833030303030304
2018,1,Marche,HiQ Perform+,420.65999999999997,210,2.003142857142857
2018,1,Marche,Metano,2778.456,3058,0.9085860039241335
2018,1,Molise,Benzina,12879.339,7994,1.611125719289467
2018,1,Molise,Benzina Speciale,100.74000000000001,60,1.679
2018,1,Molise,Blue Diesel,1778.5220000000002,1140,1.5601070175438598
2018,1,Molise,Blue Super,803.938,480,1.6748708333333333
2018,1,Molise,Excellium Diesel,642.127,390,1.646479487179487
2018,1,Molise,GPL,550.9830000000001,840,0.655932142857143
2018,1,Molise,Gasolio,11727.599,8054,1.4561210578594488
2018,1,Molise,Gasolio Alpino,90.284,60,1.5047333333333335
2018,1,Molise,Gasolio Oro Diesel,44.339999999999996,30,1.478
2018,1,Molise,Gasolio Premium,519.404,330,1.573951515151515
2018,1,Molise,Gasolio Speciale,90.54,60,1.5090000000000001
2018,1,Molise,Hi-Q Diesel,421.24,240,1.7551666666666668
2018,1,Molise,Metano,115.68,120,0.9640000000000001
2018,1,Piemonte,Benzina,115588.609,71193,1.6235951427808912
2018,1,Piemonte,Benzina Plus 98,1331.55,660,2.0175
2018,1,Piemonte,Benzina Speciale,191.58999999999997,120,1.596583333333333
2018,1,Piemonte,Benzina WR 100,3266.42,1770,1.8454350282485876
2018,1,Piemonte,Benzina speciale,47.37,30,1.579
2018,1,Piemonte,Blu Diesel Alpino,46.68,30,1.556
2018,1,Piemonte,Blue Diesel,19514.674,12280,1.5891428338762215
2018,1,Piemonte,Blue Super,13123.664,7288,1.800722283205269
2018,1,Piemonte,Diesel e+10,277.149,180,1.5397166666666666
2018,1,Piemonte,DieselMax,219.549,150,1.46366
2018,1,Piemonte,Excellium Diesel,12414.809,7892,1.5730878104409527
2018,1,Piemonte,GPL,6568.894,10074,0.6520641254715108
2018,1,Piemonte,Gasolio,104144.869,70940,1.4680697631801523
2018,1,Piemonte,Gasolio Alpino,632.13,420,1.5050714285714286
2018,1,Piemonte,Gasolio Gelo,1029.18,690,1.4915652173913045
2018,1,Piemonte,Gasolio Oro Diesel,759.083,420,1.807340476190476
2018,1,Piemonte,Gasolio Premium,8202.49,5154,1.5914804035700427
2018,1,Piemonte,Gasolio Speciale,198.128,138,1.4357101449275362
2018,1,Piemonte,Gasolio artico,1522.379,1050,1.449884761904762
2018,1,Piemonte,Gasolio speciale,342.78,240,1.4282499999999998
2018,1,Piemonte,Hi-Q Diesel,6647.905,3775,1.7610344370860926
2018,1,Piemonte,HiQ Perform+,4380.383,2335,1.8759670235546038
2018,1,Piemonte,Metano,2286.015,2352,0.9719451530612244
2018,1,Piemonte,R100,207.574,120,1.7297833333333335
2018,1,Piemonte,V-Power Diesel,97.02799999999999,60,1.617133333333333
2018,1,Puglia,Benzina,96448.871,59490,1.6212619095646328
2018,1,Puglia,Benzina Plus 98,48.714,30,1.6238
2018,1,Puglia,Benzina speciale,631.0,450,1.4022222222222223
2018,1,Puglia,Blu Diesel Alpino,52.6,52,1.0115384615384615
2018,1,Puglia,Blue Diesel,17002.375,10672,1.593176068215892
2018,1,Puglia,Blue Super,6778.51,3812,1.7782030430220357
2018,1,Puglia,Excellium Diesel,9576.517,6042,1.5849912280701755
2018,1,Puglia,GPL,4617.088,6949,0.6644248093250827
2018,1,Puglia,Gasolio,88894.071,59721,1.4884893253629377
